WEP,Tupelanzahl,Mainkey,Dauer,Dauer in ms,Dauer für hacking,Schlüssel verwendet,Schlüssel gefunden,Erfolgreich?,Modell?,
WEP40 ,30000,(b'\xa6t\x0e\x08\x13'),0:00:13.089940, 13089 ms,18814,(18 ,"bytearray""(b'\xa6t\x0e\x08\x13')"" "," bytearray""(b'\xa6t\x0e\x1e\xfd')"" ",False,
WEP40 ,30000,(b'\x1f\x0f\xcbL\x05'),0:00:11.207861, 11207 ms,18289,(18 ,"bytearray""(b'\x1f\x0f\xcbL\x05')"" "," bytearray""(b'\x1f\x0f\xcbL\xc2')"" ",False,
WEP40 ,30000,(b'\xe4\xce\xca \xce'),0:00:14.541605, 14541 ms,20857,(20 ,"bytearray""(b'\xe4\xce\xca \xce')"" "," bytearray""(b'S_\xca\xcd\xe6')"" ",False,
WEP40 ,30000,(b'\xae\x14\xd0\xe0\xbf'),0:00:08.210228, 8210 ms,13670,(13 ,"bytearray""(b'\xae\x14\xd0\xe0\xbf')"" "," bytearray""(b'\xae\x14 \x90\xef')"" ",False,
WEP40 ,30000,(b'\xdaY=\x97\n'),0:00:16.168878, 16168 ms,22527,(22 ,"bytearray""(b'\xdaY=\x97\n')"" "," bytearray""(b'\xdaY=\x97\n')"" ",True,
WEP40 ,30000,(b'\xeb\x8e\x8a\x8c*'),0:00:08.002607, 8002 ms,13035,(13 ,"bytearray""(b'\xeb\x8e\x8a\x8c*')"" "," bytearray""(b'\xebJ\xceTb')"" ",False,
WEP40 ,30000,(b'\x94\x7fM\xad}'),0:00:08.570869, 8570 ms,15972,(15 ,"bytearray""(b'\x94\x7fM\xad}')"" "," bytearray""(b'\x94\x7fM\xad}')"" ",True,
WEP40 ,30000,(b'\xcfmE\xff\xee'),0:00:16.511578, 16511 ms,25207,(25 ,"bytearray""(b'\xcfmE\xff\xee')"" "," bytearray""(b'\xcfmE\xff\xee')"" ",True,
WEP40 ,30000,(b'!\xa5\x07\xe2S'),0:00:10.136644, 10136 ms,15262,(15 ,"bytearray""(b'!\xa5\x07\xe2S')"" "," bytearray""(b'!\xa5\x07\xe2S')"" ",True,
WEP40 ,30000,(b'\xe35\x16bk'),0:00:19.318399, 19318 ms,30888,(30 ,"bytearray""(b'\xe35\x16bk')"" "," bytearray""(b'\xe35\x16bk')"" ",True,
WEP40 ,30000,"(b')g\xd4\xe0c')""",0:00:27.890946, 27891 ms,45822,(45 ,"bytearray""(b')""g\xd4\xe0c')"" "," bytearray""(b')""g\xd4\xe0c')"" ",True,
WEP40 ,30000,(b'\x02/\xcfK\x17'),0:00:28.244519, 28244 ms,46697,(46 ,"bytearray""(b'\x02/\xcfK\x17')"" "," bytearray""(b'\x02/\xc4V\x17')"" ",False,
WEP40 ,30000,(b'\xa9\x81z\xd8\xe3'),0:00:29.214249, 29214 ms,46857,(46 ,"bytearray""(b'\xa9\x81z\xd8\xe3')"" "," bytearray""(b'\xa9\x81zxC')"" ",False,
WEP40 ,30000,(b'yQ\xecI~'),0:00:19.775856, 19775 ms,31496,(31 ,"bytearray""(b'yQ\xecI~')"" "," bytearray""(b'y\x17&I~')"" ",False,
WEP40 ,30000,(b'\x9b\x00\xe6\x8f\xf3'),0:00:28.531148, 28531 ms,45861,(45 ,"bytearray""(b'\x9b\x00\xe6\x8f\xf3')"" "," bytearray""(b'\x9b\x00\xe6\x8f\xf3')"" ",True,
WEP40 ,30000,(b'\x9eU\x1d\xfb\xe8'),0:00:19.181217, 19181 ms,30848,(30 ,"bytearray""(b'\x9eU\x1d\xfb\xe8')"" "," bytearray""(b'\x9eU\xc9O&')"" ",False,
WEP40 ,30000,(b'\xd9\xdd[\x0f\x9c'),0:00:27.554110, 27554 ms,45332,(45 ,"bytearray""(b'\xd9\xdd[\x0f\x9c')"" "," bytearray""(b'\xd9\xdd[|/')"" ",False,
WEP40 ,30000,(b'\x9aRU\x96\x07'),0:00:19.699231, 19699 ms,33532,(33 ,"bytearray""(b'\x9aRU\x96\x07')"" "," bytearray""(b""\x9aRU\x96\'"")"" ",False,
WEP40 ,30000,(b'O\xa8\xbd\x98\xcf'),0:00:29.818915, 29819 ms,47893,(47 ,"bytearray""(b'O\xa8\xbd\x98\xcf')"" "," bytearray""(b'O\xa8\xbd\x01f')"" ",False,
WEP40 ,30000,(b'\nu\t\xfc\xa5'),0:00:29.725748, 29725 ms,48246,(48 ,"bytearray""(b'\nu\t\xfc\xa5')"" "," bytearray""(b'\nu\t\xfc\xa5')"" ",True,
WEP40 ,30000,(b'\xfa\xb4\xaf\xc3\xc4'),0:00:29.296061, 29296 ms,47672,(47 ,"bytearray""(b'\xfa\xb4\xaf\xc3\xc4')"" "," bytearray""(b'\xfa\xb43\xe8\x1b')"" ",False,
WEP40 ,30000,(b'\x0e\xb6\xce\x05\xdc'),0:00:19.915639, 19915 ms,31497,(31 ,"bytearray""(b'\x0e\xb6\xce\x05\xdc')"" "," bytearray""(b']g\xce\x05\xdc')"" ",False,
WEP40 ,30000,(b'\xa2\x86K\xbe\x83'),0:00:30.315769, 30315 ms,50662,(50 ,"bytearray""(b'\xa2\x86K\xbe\x83')"" "," bytearray""(b'\xa2\xb4\x1d\xbe\x83')"" ",False,
WEP40 ,30000,(b'u+E\x9f1'),0:00:19.635540, 19635 ms,33662,(33 ,"bytearray""(b'u+E\x9f1')"" "," bytearray""(b'MSO\x951')"" ",False,
WEP40 ,30000,(b'e\x000y\xb1'),0:00:27.826971, 27827 ms,45663,(45 ,"bytearray""(b'e\x000y\xb1')"" "," bytearray""(b'\x0b\x93\xf7y\x93')"" ",False,
WEP40 ,30000,(b'd\x8e\xa8\xb1k'),0:00:19.821421, 19821 ms,33147,(33 ,"bytearray""(b'd\x8e\xa8\xb1k')"" "," bytearray""(b'd+\x0b\xb1P')"" ",False,
WEP40 ,30000,(b'P\xe8w\xaa]'),0:00:28.934584, 28934 ms,47917,(47 ,"bytearray""(b'P\xe8w\xaa]')"" "," bytearray""(b'P\xe8w\xfe\t')"" ",False,
WEP40 ,30000,(b'_\xc0\n\x92\x9f'),0:00:31.516043, 31516 ms,51767,(51 ,"bytearray""(b'_\xc0\n\x92\x9f')"" "," bytearray""(b'_\xc0\n\x92\xeb')"" ",False,
WEP40 ,30000,(b'8\xcc/\x96c'),0:00:34.410326, 34410 ms,53327,(53 ,"bytearray""(b'8\xcc/\x96c')"" "," bytearray""(b'8\xcc/\x96c')"" ",True,
WEP40 ,30000,(b'\xc8i\xadhw'),0:00:19.597323, 19597 ms,31543,(31 ,"bytearray""(b'\xc8i\xadhw')"" "," bytearray""(b'\xc8z\x9ch\xff')"" ",False,
WEP40 ,30000,(b'H\x8aF\xfa\xea'),0:00:31.515063, 31515 ms,51699,(51 ,"bytearray""(b'H\x8aF\xfa\xea')"" "," bytearray""(b'H\x8aF\xfa\xe8')"" ",False,
WEP40 ,30000,(b']\xfb\x80i\x13'),0:00:33.238024, 33242 ms,50850,(50 ,"bytearray""(b']\xfb\x80i\x13')"" "," bytearray""(b']\xfb\x80i\x13')"" ",True,
WEP40 ,30000,(b'\xbe\xb43z\xd9'),0:00:32.447738, 32447 ms,52557,(52 ,"bytearray""(b'\xbe\xb43z\xd9')"" "," bytearray""(b'\xbe\xb43z\xd9')"" ",True,
WEP40 ,30000,(b'\x17\x82*\x822'),0:00:19.608945, 19609 ms,31236,(31 ,"bytearray""(b'\x17\x82*\x822')"" "," bytearray""(b'\x1e{*pD')"" ",False,
WEP40 ,30000,(b'X\xf7\x16\xba\x9f'),0:00:31.809349, 31809 ms,51726,(51 ,"bytearray""(b'X\xf7\x16\xba\x9f')"" "," bytearray""(b'X\xf7\x16\x04U')"" ",False,
WEP40 ,30000,(b'\x117\x99X\xce'),0:00:31.379567, 31379 ms,52182,(52 ,"bytearray""(b'\x117\x99X\xce')"" "," bytearray""(b'\x11\xe9\xac\x93\xce')"" ",False,
WEP40 ,30000,(b'\xd2\x1f\x189\x06'),0:00:32.623333, 32623 ms,53279,(53 ,"bytearray""(b'\xd2\x1f\x189\x06')"" "," bytearray""(b'&\xb039\x06')"" ",False,
WEP40 ,30000,(b'a\x15p\xb31'),0:00:19.358569, 19358 ms,30859,(30 ,"bytearray""(b'a\x15p\xb31')"" "," bytearray""(b'a\xf2\xd6p1')"" ",False,
WEP40 ,30000,(b'\xcbg\xcf<\x1f'),0:00:32.582481, 32582 ms,52850,(52 ,"bytearray""(b'\xcbg\xcf<\x1f')"" "," bytearray""(b'\xe2P\xcf<\x04')"" ",False,
WEP40 ,30000,(b'z\xb5UC\x0e'),0:00:19.788381, 19788 ms,32976,(32 ,"bytearray""(b'z\xb5UC\x0e')"" "," bytearray""(b'z\x01\x0e>\x0e')"" ",False,
WEP40 ,30000,(b'\xb5\xb8\x0b\x8cW'),0:00:25.557743, 25557 ms,45725,(45 ,"bytearray""(b'\xb5\xb8\x0b\x8cW')"" "," bytearray""(b'\xb5\x903\xfa\xc1')"" ",False,
WEP40 ,30000,(b'&\xa1\x10\x89F'),0:00:32.077965, 32078 ms,52521,(52 ,"bytearray""(b'&\xa1\x10\x89F')"" "," bytearray""(b'&\xa1\x98\x86\xc1')"" ",False,
WEP40 ,30000,(b'oY\xf4\xcfj'),0:00:19.894370, 19894 ms,31557,(31 ,"bytearray""(b'oY\xf4\xcfj')"" "," bytearray""(b'oY\x0b\xb8j')"" ",False,
WEP40 ,30000,(b'z\x80K\x14\xd4'),0:00:34.429431, 34429 ms,55347,(55 ,"bytearray""(b'z\x80K\x14\xd4')"" "," bytearray""(b'z\x80\xdb\rK')"" ",False,
WEP40 ,30000,(b'\xb1\x00\x80\xf3\xe0'),0:00:32.108334, 32108 ms,52305,(52 ,"bytearray""(b'\xb1\x00\x80\xf3\xe0')"" "," bytearray""(b'\xb1\x00\x80\xf3\xe0')"" ",True,
WEP40 ,30000,(b'a\xb71\xf7\xf4'),0:00:33.536966, 33537 ms,54046,(54 ,"bytearray""(b'a\xb71\xf7\xf4')"" "," bytearray""(b'a\xb71\xba1')"" ",False,
WEP40 ,30000,(b'q\xcf\x18&\x1e'),0:00:19.683727, 19683 ms,31476,(31 ,"bytearray""(b'q\xcf\x18&\x1e')"" "," bytearray""(b'q\xcf\x18&\x1e')"" ",True,
WEP40 ,30000,(b'\x9c\x99&\x0e\xf5'),0:00:28.666295, 28666 ms,47065,(47 ,"bytearray""(b'\x9c\x99&\x0e\xf5')"" "," bytearray""(b'\x9c\x99&\x0e\xf5')"" ",True,
WEP40 ,30000,(b'\xdc]E\xb9\xd2'),0:00:20.033230, 20033 ms,31830,(31 ,"bytearray""(b'\xdc]E\xb9\xd2')"" "," bytearray""(b'\xdc\x86\x1c\xb9\xd4')"" ",False,
WEP40 ,30000,(b'\xde\xf8\xf0\xcfO'),0:00:30.299820, 30299 ms,47642,(47 ,"bytearray""(b'\xde\xf8\xf0\xcfO')"" "," bytearray""(b'\xde+\xbd\xcf\xa5')"" ",False,
WEP40 ,30000,(b'\xb8\xeeO{d'),0:00:25.267026, 25267 ms,40459,(40 ,"bytearray""(b'\xb8\xeeO{d')"" "," bytearray""(b'\xb8\xeeO{d')"" ",True,
WEP40 ,30000,(b'\x1eq\xb4&y'),0:00:28.812561, 28812 ms,46005,(46 ,"bytearray""(b'\x1eq\xb4&y')"" "," bytearray""(b'\x1eq\xb4&\xbb')"" ",False,
WEP40 ,30000,(b'31\xac\xe1p'),0:00:28.329210, 28329 ms,47923,(47 ,"bytearray""(b'31\xac\xe1p')"" "," bytearray""(b'3\x8eO\xe1p')"" ",False,
WEP40 ,30000,(b'\x0b\xd5K\xa8['),0:00:28.322398, 28322 ms,46398,(46 ,"bytearray""(b'\x0b\xd5K\xa8[')"" "," bytearray""(b'\x0b\xd5\x11\xe2[')"" ",False,
WEP40 ,30000,(b'\xf9j]<\x02'),0:00:19.509834, 19509 ms,32372,(32 ,"bytearray""(b'\xf9j]<\x02')"" "," bytearray""(b'\xf9j]\xf5I')"" ",False,
WEP40 ,30000,(b'\xe2\xa2\xb8\xe5\n'),0:00:29.594588, 29594 ms,48168,(48 ,"bytearray""(b'\xe2\xa2\xb8\xe5\n')"" "," bytearray""(b'\xe2\xa2\xb8\xe5\n')"" ",True,
WEP40 ,30000,(b'\xfb\x0b\xcd\x0bM'),0:00:19.615186, 19615 ms,32355,(32 ,"bytearray""(b'\xfb\x0b\xcd\x0bM')"" "," bytearray""(b'\xfb\x0b\xcd\x0bM')"" ",True,
WEP40 ,30000,(b'\xfac\xfa\xa0\xa2'),0:00:20.080319, 20080 ms,31810,(31 ,"bytearray""(b'\xfac\xfa\xa0\xa2')"" "," bytearray""(b'\xfau\xdd\xabk')"" ",False,
WEP40 ,30000,(b'q\xe5\xa8\x83\xa2'),0:00:23.598415, 23598 ms,39333,(39 ,"bytearray""(b'q\xe5\xa8\x83\xa2')"" "," bytearray""(b'q\xe5\xa8\x83\xa2')"" ",True,
WEP40 ,30000,(b'6f\xf3#O'),0:00:24.110443, 24110 ms,38275,(38 ,"bytearray""(b'6f\xf3#O')"" "," bytearray""(b'\xe7\xa5\x03#O')"" ",False,
WEP40 ,30000,(b'EX\xc6g\x15'),0:00:24.030758, 24030 ms,40296,(40 ,"bytearray""(b'EX\xc6g\x15')"" "," bytearray""(b'E\xd3\x97\x1b\x15')"" ",False,
WEP40 ,30000,(b'r\xb6\x02@\r'),0:00:20.398196, 20398 ms,32108,(32 ,"bytearray""(b'r\xb6\x02@\r')"" "," bytearray""(b'r\xc2\xf6@\r')"" ",False,
WEP40 ,30000,"(b\xe3A\xc4\xa7\'"")""",0:00:25.119543, 25119 ms,40570,(40 ,"bytearray""(b""\xe3A\xc4\xa7\'"")"" "," bytearray""(b""\xe3A\xc4\xa7\'"")"" ",True,
WEP40 ,30000,(b'\xb8Z\xb2\xb8@'),0:00:19.509394, 19509 ms,31270,(31 ,"bytearray""(b'\xb8Z\xb2\xb8@')"" "," bytearray""(b'\xb8Z\x8f\xdb@')"" ",False,
WEP40 ,30000,(b'2F]zs'),0:00:23.201847, 23201 ms,36993,(36 ,"bytearray""(b'2F]zs')"" "," bytearray""(b'2F]zs')"" ",True,
WEP40 ,30000,"(b')IC\xb53')""",0:00:19.715113, 19715 ms,32387,(32 ,"bytearray""(b')""IC\xb53')"" "," bytearray""(b')""ICh\x80')"" ",False,
WEP40 ,30000,(b'\xc7\xf0G\x16\x8a'),0:00:24.263292, 24263 ms,39461,(39 ,"bytearray""(b'\xc7\xf0G\x16\x8a')"" "," bytearray""(b'\xc7\xf0d\xf9\x8a')"" ",False,
WEP40 ,30000,(b'\xda\xe1\xbf..'),0:00:19.373385, 19373 ms,31048,(31 ,"bytearray""(b'\xda\xe1\xbf..')"" "," bytearray""(b'\xda\xdc\xc4..')"" ",False,
WEP40 ,30000,(b'\xb5\x0b\xd8\x0fk'),0:00:28.796332, 28796 ms,45136,(45 ,"bytearray""(b'\xb5\x0b\xd8\x0fk')"" "," bytearray""(b'\xb5E\x9e\x0fk')"" ",False,
WEP40 ,30000,(b'\xc8\x1c\x0cU\xb5'),0:00:19.244649, 19244 ms,30948,(30 ,"bytearray""(b'\xc8\x1c\x0cU\xb5')"" "," bytearray""(b'\xc8\x1c\x0c\xd82')"" ",False,
WEP40 ,30000,(b'\xdbp_\x89\xc3'),0:00:27.925351, 27925 ms,45017,(45 ,"bytearray""(b'\xdbp_\x89\xc3')"" "," bytearray""(b'\xf2Y_\x89M')"" ",False,
WEP40 ,30000,(b'\xf9!~g\xb7'),0:00:19.853503, 19853 ms,31920,(31 ,"bytearray""(b'\xf9!~g\xb7')"" "," bytearray""(b'\xf9!{j\xb7')"" ",False,
WEP40 ,30000,(b'\xb7\xbd\xca i'),0:00:28.525225, 28525 ms,45633,(45 ,"bytearray""(b'\xb7\xbd\xca i')"" "," bytearray""(b'\xb7\xbd\xca\x12w')"" ",False,
WEP40 ,30000,(b'\x93\x82x\xbf6'),0:00:29.136776, 29136 ms,46329,(46 ,"bytearray""(b'\x93\x82x\xbf6')"" "," bytearray""(b'\x93\x82x\xbf6')"" ",True,
WEP40 ,30000,(b'T\xeaw6U'),0:00:28.234123, 28234 ms,46158,(46 ,"bytearray""(b'T\xeaw6U')"" "," bytearray""(b'T\xeaw\x14w')"" ",False,
WEP40 ,30000,(b'\xbc\x99 \xa9\x14'),0:00:19.382042, 19382 ms,31229,(31 ,"bytearray""(b'\xbc\x99 \xa9\x14')"" "," bytearray""(b'\xbc\x99 \xa9\x14')"" ",True,
WEP40 ,30000,(b' X\xcf\xa9\\'),0:00:29.010317, 29010 ms,47437,(47 ,"bytearray""(b' X\xcf\xa9\\')"" "," bytearray""(b' X\xcf\xa9\\')"" ",True,
WEP40 ,30000,(b'-\xff\t\x90\x91'),0:00:29.271143, 29271 ms,47719,(47 ,"bytearray""(b'-\xff\t\x90\x91')"" "," bytearray""(b'-\xff\t\x90\x91')"" ",True,
WEP40 ,30000,(b'^\n\xdd]\xd9'),0:00:28.337813, 28337 ms,45669,(45 ,"bytearray""(b'^\n\xdd]\xd9')"" "," bytearray""(b'^\n\xdd]\xd9')"" ",True,
WEP40 ,30000,"(b')\x06\xb6#\xb3')""",0:00:19.131616, 19131 ms,30694,(30 ,"bytearray""(b')""\x06\xb6#\xb3')"" "," bytearray""(b')""\x06\xb6#\xb3')"" ",True,
WEP40 ,30000,(b']u\xe3\xdd\xce'),0:00:19.257443, 19257 ms,30663,(30 ,"bytearray""(b']u\xe3\xdd\xce')"" "," bytearray""(b']u\xe3\xdd\xce')"" ",True,
WEP40 ,30000,(b'9T\xd4\x9b\xdc'),0:00:19.635093, 19635 ms,31207,(31 ,"bytearray""(b'9T\xd4\x9b\xdc')"" "," bytearray""(b'9T\xd4\x9b\xdc')"" ",True,
WEP40 ,30000,(b'\xd8pD\xc9_'),0:00:19.346867, 19346 ms,30959,(30 ,"bytearray""(b'\xd8pD\xc9_')"" "," bytearray""(b'\xd8Hl\xc9\x0b')"" ",False,
WEP40 ,30000,(b'\xbd\xd8\x8b\x1f\xb2'),0:00:19.130982, 19131 ms,30788,(30 ,"bytearray""(b'\xbd\xd8\x8b\x1f\xb2')"" "," bytearray""(b'\xbd\xd8\x8b\x1f\xb2')"" ",True,
WEP40 ,30000,(b'\xdcJ\xd9U\x8a'),0:00:19.180188, 19180 ms,30763,(30 ,"bytearray""(b'\xdcJ\xd9U\x8a')"" "," bytearray""(b'\x05\x7f{U\x8a')"" ",False,
WEP40 ,30000,(b'\xces\x9b\x7f\xad'),0:00:22.357977, 22358 ms,35292,(35 ,"bytearray""(b'\xces\x9b\x7f\xad')"" "," bytearray""(b'\xces\x9b\x7f\xad')"" ",True,
WEP40 ,30000,(b'\t\x14\xf8\n\xef'),0:00:19.314579, 19314 ms,31420,(31 ,"bytearray""(b'\t\x14\xf8\n\xef')"" "," bytearray""(b'\t\x14\xf8\n\xef')"" ",True,
WEP40 ,30000,(b'pBB\xd4|'),0:00:24.028951, 24029 ms,37630,(37 ,"bytearray""(b'pBB\xd4|')"" "," bytearray""(b'pBB\xd4|')"" ",True,
WEP40 ,30000,(b'#\xd4\x8dZ\xd2'),0:00:19.202676, 19202 ms,30897,(30 ,"bytearray""(b'#\xd4\x8dZ\xd2')"" "," bytearray""(b'#\x97\x06\x1b\xd5')"" ",False,
WEP40 ,30000,(b'\xb1\xeb\x12\x0b\xfd'),0:00:23.243002, 23243 ms,37290,(37 ,"bytearray""(b'\xb1\xeb\x12\x0b\xfd')"" "," bytearray""(b'\xb1\xeb\x12\x0b\xfd')"" ",True,
WEP40 ,30000,(b'\x1f\xac\xcd4I'),0:00:19.047607, 19047 ms,30917,(30 ,"bytearray""(b'\x1f\xac\xcd4I')"" "," bytearray""(b'\x1f\xacp\x91I')"" ",False,
WEP40 ,30000,(b'\x1d\x86e \xb1'),0:00:24.446798, 24446 ms,40740,(40 ,"bytearray""(b'\x1d\x86e \xb1')"" "," bytearray""(b'\x1d\x86e \xb1')"" ",True,
WEP40 ,30000,(b'\xcaa1-u'),0:00:23.779648, 23779 ms,38080,(38 ,"bytearray""(b'\xcaa1-u')"" "," bytearray""(b'\xcaa1-u')"" ",True,
WEP40 ,30000,"(b'(\x15N\xb0\xcf')""",0:00:22.437382, 22437 ms,37311,(37 ,"bytearray""(b'""(\x15N\xb0\xcf')"" "," bytearray""(b'\x18%N\xb0\xcf')"" ",False,
WEP40 ,30000,(b'\x0e\xf9\tH\xef'),0:00:19.338259, 19338 ms,31094,(31 ,"bytearray""(b'\x0e\xf9\tH\xef')"" "," bytearray""(b'\x0e\xf9\t\x16!')"" ",False,
WEP40 ,30000,(b'\x0eK\x90\xab\x89'),0:00:19.075283, 19075 ms,30905,(30 ,"bytearray""(b'\x0eK\x90\xab\x89')"" "," bytearray""(b'\x0eK\x90\xab\x89')"" ",True,
WEP40 ,30000,(b'\x95DLM['),0:00:19.945605, 19945 ms,31463,(31 ,"bytearray""(b'\x95DLM[')"" "," bytearray""(b'\x95DLM[')"" ",True,
WEP40 ,30000,(b'\xcd\xc3\xc6\xb7\x83'),0:00:19.890445, 19890 ms,31584,(31 ,"bytearray""(b'\xcd\xc3\xc6\xb7\x83')"" "," bytearray""(b'\xcd\xc3\xc6\xb7\x08')"" ",False,
WEP40 ,30000,(b'\x1d8g5\xec'),0:00:19.207577, 19207 ms,30917,(30 ,"bytearray""(b'\x1d8g5\xec')"" "," bytearray""(b'\x1d8g5\xec')"" ",True,
WEP40 ,30000,(b'\x1e\x14\xd8U\xb9'),0:00:19.125416, 19125 ms,30940,(30 ,"bytearray""(b'\x1e\x14\xd8U\xb9')"" "," bytearray""(b'\x1e\x14\xd8U\xb9')"" ",True,
WEP40 ,30000,(b'd\xb8\x86Oc'),0:00:32.203089, 32203 ms,58341,(58 ,"bytearray""(b'd\xb8\x86Oc')"" "," bytearray""(b'\xb8\x93\xf8\xaec')"" ",False,
WEP40 ,30000,(b'< \x14\x9a\x0b'),0:00:47.154143, 47154 ms,75950,(75 ,"bytearray""(b'< \x14\x9a\x0b')"" "," bytearray""(b'<H\xec\x9a%')"" ",False,
WEP40 ,30000,"(b'(\x94`*\xdf')""",0:00:45.046735, 45046 ms,74186,(74 ,"bytearray""(b'""(\x94`*\xdf')"" "," bytearray""(b'""(\x94`*\xdf')"" ",True,
WEP40 ,30000,(b'\xae\xd9w\xf9\x8b'),0:00:47.700210, 47700 ms,76419,(76 ,"bytearray""(b'\xae\xd9w\xf9\x8b')"" "," bytearray""(b'\xae\xd9w\xc4\xc0')"" ",False,
WEP40 ,30000,(b'\r\xe7\x806\x8e'),0:00:47.343541, 47343 ms,77498,(77 ,"bytearray""(b'\r\xe7\x806\x8e')"" "," bytearray""(b'I\xab\x806\xb0')"" ",False,
WEP40 ,30000,(b'\xc7\x0c7\xbfm'),0:00:47.311089, 47311 ms,77996,(77 ,"bytearray""(b'\xc7\x0c7\xbfm')"" "," bytearray""(b'\x03\xd0\x8alm')"" ",False,
WEP40 ,30000,(b'A\xfb|1\x11'),0:01:02.226391, 62226 ms,106424,(106 ,"bytearray""(b'A\xfb|1\x11')"" "," bytearray""(b'AU""1\x11')"" ",False,
WEP40 ,30000,(b'vJ\x07d%'),0:01:02.461424, 62461 ms,101463,(101 ,"bytearray""(b'vJ\x07d%')"" "," bytearray""(b'\xf5\xcb\x07\xb3\xd4')"" ",False,
WEP40 ,30000,(b'\xdc\x8f\x12\xd9G'),0:01:01.064906, 61064 ms,103635,(103 ,"bytearray""(b'\xdc\x8f\x12\xd9G')"" "," bytearray""(b'\xdc\x8f\x12\xd9G')"" ",True,
WEP40 ,30000,(b'\\\xf64\xb46'),0:01:05.016816, 65016 ms,103766,(103 ,"bytearray""(b'\\\xf64\xb46')"" "," bytearray""(b'\\\xf64\x8c^')"" ",False,
WEP40 ,30000,(b'\x1cu.a\xd9'),0:01:19.485131, 79485 ms,128261,(128 ,"bytearray""(b'\x1cu.a\xd9')"" "," bytearray""(b'\x1cu\x90\xffV')"" ",False,
WEP40 ,30000,(b'\x1cD\x18\xbaE'),0:01:02.953821, 62953 ms,101820,(101 ,"bytearray""(b'\x1cD\x18\xbaE')"" "," bytearray""(b'\x1c\xb0\xac\xbaE')"" ",False,
WEP40 ,30000,(b'1@\x1f\x91\xe3'),0:00:43.402686, 43402 ms,72874,(72 ,"bytearray""(b'1@\x1f\x91\xe3')"" "," bytearray""(b'1@\x1f\x91\xe3')"" ",True,
WEP40 ,30000,(b'\xa2Q\x84\x14\x82'),0:00:47.493268, 47493 ms,77094,(77 ,"bytearray""(b'\xa2Q\x84\x14\x82')"" "," bytearray""(b'\xa2\x02\xa8?\x82')"" ",False,
WEP40 ,30000,(b'\xa5\xb3Z\xad\n'),0:00:16.258043, 16258 ms,29130,(29 ,"bytearray""(b'\xa5\xb3Z\xad\n')"" "," bytearray""(b'\xa5\xbcQ\xad\n')"" ",False,
WEP40 ,30000,(b'\x06\xdbl`\xb6'),0:00:47.926823, 47926 ms,76879,(76 ,"bytearray""(b'\x06\xdbl`\xb6')"" "," bytearray""(b'\x06\xdbBF\xfa')"" ",False,
WEP40 ,30000,(b'\xbfs\xc83Y'),0:00:38.395473, 38395 ms,67867,(67 ,"bytearray""(b'\xbfs\xc83Y')"" "," bytearray""(b'\xbfs\xc38\xb8')"" ",False,
WEP40 ,30000,(b'\xb4\xe5x\x8cQ'),0:00:48.126213, 48126 ms,77003,(77 ,"bytearray""(b'\xb4\xe5x\x8cQ')"" "," bytearray""(b'\xa3\xf6x\x8c\xea')"" ",False,
WEP40 ,30000,(b'qY\xfd\x81\xbd'),0:00:47.547072, 47547 ms,76162,(76 ,"bytearray""(b'qY\xfd\x81\xbd')"" "," bytearray""(b'Vt\xfd\x81\xbd')"" ",False,
WEP40 ,30000,(b'\xe5\x0e\xb4\xeb\x82'),0:00:46.947058, 46947 ms,75830,(75 ,"bytearray""(b'\xe5\x0e\xb4\xeb\x82')"" "," bytearray""(b'\xe5\x0e4\xd1\x1c')"" ",False,
WEP40 ,30000,(b'c\xc4\xd2J\xf0'),0:00:27.081957, 27082 ms,49617,(49 ,"bytearray""(b'c\xc4\xd2J\xf0')"" "," bytearray""(b'c\xc4\xc4X\xf0')"" ",False,
WEP40 ,30000,(b'f\xa9z\x11\x98'),0:00:48.891145, 48891 ms,77868,(77 ,"bytearray""(b'f\xa9z\x11\x98')"" "," bytearray""(b'f\xa9z\x8d\x1c')"" ",False,
WEP40 ,30000,(b'\xe7\xffZ\tZ'),0:00:15.940365, 15940 ms,28898,(28 ,"bytearray""(b'\xe7\xffZ\tZ')"" "," bytearray""(b'\xe7\xffZ\tZ')"" ",True,
WEP40 ,30000,(b'\xd7\xa5\x89nK'),0:00:47.216272, 47216 ms,76340,(76 ,"bytearray""(b'\xd7\xa5\x89nK')"" "," bytearray""(b'\xd7\xa5\x89nK')"" ",True,
WEP40 ,30000,(b'\xa4^\xc2\x08\xc1'),0:00:17.255111, 17255 ms,36535,(36 ,"bytearray""(b'\xa4^\xc2\x08\xc1')"" "," bytearray""(b'\xa4^\xc2\x08\xc1')"" ",True,
WEP40 ,30000,(b'\x98\x81\xb2\xebk'),0:00:32.157030, 32157 ms,51416,(51 ,"bytearray""(b'\x98\x81\xb2\xebk')"" "," bytearray""(b'\x98\x81\xb2\xbd\x99')"" ",False,
WEP40 ,30000,(b'\xc1Z\xd5t\x1c'),0:00:16.365329, 16365 ms,26024,(26 ,"bytearray""(b'\xc1Z\xd5t\x1c')"" "," bytearray""(b'\xc1Z-\x1c\x1c')"" ",False,
WEP40 ,30000,(b'S\x93i\xc8\x94'),0:00:32.262599, 32262 ms,51510,(51 ,"bytearray""(b'S\x93i\xc8\x94')"" "," bytearray""(b'S\x93\xddT\x94')"" ",False,
